Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 12 [21000/49000 (43%)]	Train Loss: 1.848310	Val Loss: 1.909486	Val Acc: 54
Train Epoch: 12 [24000/49000 (49%)]	Train Loss: 1.897043	Val Loss: 1.908435	Val Acc: 55
Train Epoch: 12 [27000/49000 (55%)]	Train Loss: 1.855426	Val Loss: 1.902020	Val Acc: 55
Train Epoch: 12 [30000/49000 (61%)]	Train Loss: 1.883853	Val Loss: 1.927218	Val Acc: 53
Train Epoch: 12 [33000/49000 (67%)]	Train Loss: 1.907896	Val Loss: 1.913981	Val Acc: 54
Train Epoch: 12 [36000/49000 (73%)]	Train Loss: 1.897356	Val Loss: 1.908094	Val Acc: 55
Train Epoch: 12 [39000/49000 (79%)]	Train Loss: 1.894232	Val Loss: 1.906559	Val Acc: 55
Train Epoch: 12 [42000/49000 (85%)]	Train Loss: 1.911803	Val Loss: 1.894337	Val Acc: 56
Train Epoch: 12 [45000/49000 (91%)]	Train Loss: 1.813588	Val Loss: 1.904737	Val Acc: 55
Train Epoch: 12 [48000/49000 (98%)]	Train Loss: 1.870284	Val Loss: 1.906078	Val Acc: 56
Train Epoch: 13 [0/49000 (0%)]	Train Loss: 1.869015	Val Loss: 1.913418	Val Acc: 54
Train Epoch: 13 [3000/49000 (6%)]	Train Loss: 1.873068	Val Loss: 1.901898	Val Acc: 56
Train Epoch: 13 [6000/49000 (12%)]	Train Loss: 1.816667	Val Loss: 1.902866	Val Acc: 55
Train Epoch: 13 [9000/49000 (18%)]	Train Loss: 1.864161	Val Loss: 1.898090	Val Acc: 55
Train Epoch: 13 [12000/49000 (24%)]	Train Loss: 1.797673	Val Loss: 1.905094	Val Acc: 55
Train Epoch: 13 [15000/49000 (30%)]	Train Loss: 1.860157	Val Loss: 1.906268	Val Acc: 54
Train Epoch: 13 [18000/49000 (37%)]	Train Loss: 1.849624	Val Loss: 1.898630	Val Acc: 55
Train Epoch: 13 [21000/49000 (43%)]	Train Loss: 1.839917	Val Loss: 1.905569	Val Acc: 55
Train Epoch: 13 [24000/49000 (49%)]	Train Loss: 1.839744	Val Loss: 1.904545	Val Acc: 55
Train Epoch: 13 [27000/49000 (55%)]	Train Loss: 1.851956	Val Loss: 1.890911	Val Acc: 57
Train Epoch: 13 [30000/49000 (61%)]	Train Loss: 1.881417	Val Loss: 1.915626	Val Acc: 54
Train Epoch: 13 [33000/49000 (67%)]	Train Loss: 1.937634	Val Loss: 1.909871	Val Acc: 55
Train Epoch: 13 [36000/49000 (73%)]	Train Loss: 1.853508	Val Loss: 1.910625	Val Acc: 54
Train Epoch: 13 [39000/49000 (79%)]	Train Loss: 1.873276	Val Loss: 1.917578	Val Acc: 54
Train Epoch: 13 [42000/49000 (85%)]	Train Loss: 1.873896	Val Loss: 1.894219	Val Acc: 56
Train Epoch: 13 [45000/49000 (91%)]	Train Loss: 1.827118	Val Loss: 1.905476	Val Acc: 55
Train Epoch: 13 [48000/49000 (98%)]	Train Loss: 1.867826	Val Loss: 1.903301	Val Acc: 55
Train Epoch: 14 [0/49000 (0%)]	Train Loss: 1.826527	Val Loss: 1.908698	Val Acc: 54
Train Epoch: 14 [3000/49000 (6%)]	Train Loss: 1.826180	Val Loss: 1.904433	Val Acc: 55
Train Epoch: 14 [6000/49000 (12%)]	Train Loss: 1.857810	Val Loss: 1.899240	Val Acc: 56
Train Epoch: 14 [9000/49000 (18%)]	Train Loss: 1.807685	Val Loss: 1.899822	Val Acc: 55
Train Epoch: 14 [12000/49000 (24%)]	Train Loss: 1.836673	Val Loss: 1.900002	Val Acc: 55
Train Epoch: 14 [15000/49000 (30%)]	Train Loss: 1.845542	Val Loss: 1.906187	Val Acc: 54
Train Epoch: 14 [18000/49000 (37%)]	Train Loss: 1.859709	Val Loss: 1.909685	Val Acc: 54
Train Epoch: 14 [21000/49000 (43%)]	Train Loss: 1.847519	Val Loss: 1.908617	Val Acc: 54
Train Epoch: 14 [24000/49000 (49%)]	Train Loss: 1.820021	Val Loss: 1.898280	Val Acc: 56
Train Epoch: 14 [27000/49000 (55%)]	Train Loss: 1.844526	Val Loss: 1.912362	Val Acc: 54
Train Epoch: 14 [30000/49000 (61%)]	Train Loss: 1.819931	Val Loss: 1.892052	Val Acc: 56
Train Epoch: 14 [33000/49000 (67%)]	Train Loss: 1.907682	Val Loss: 1.897822	Val Acc: 56
Train Epoch: 14 [36000/49000 (73%)]	Train Loss: 1.841440	Val Loss: 1.910127	Val Acc: 54
Train Epoch: 14 [39000/49000 (79%)]	Train Loss: 1.855380	Val Loss: 1.904582	Val Acc: 55
Train Epoch: 14 [42000/49000 (85%)]	Train Loss: 1.824384	Val Loss: 1.892628	Val Acc: 56
Train Epoch: 14 [45000/49000 (91%)]	Train Loss: 1.817544	Val Loss: 1.905289	Val Acc: 55
Train Epoch: 14 [48000/49000 (98%)]	Train Loss: 1.821559	Val Loss: 1.905422	Val Acc: 55
Train Epoch: 15 [0/49000 (0%)]	Train Loss: 1.884691	Val Loss: 1.915169	Val Acc: 54
Train Epoch: 15 [3000/49000 (6%)]	Train Loss: 1.812690	Val Loss: 1.904857	Val Acc: 55
Train Epoch: 15 [6000/49000 (12%)]	Train Loss: 1.849627	Val Loss: 1.912149	Val Acc: 54
Train Epoch: 15 [9000/49000 (18%)]	Train Loss: 1.858332	Val Loss: 1.910587	Val Acc: 54
Train Epoch: 15 [12000/49000 (24%)]	Train Loss: 1.825551	Val Loss: 1.896387	Val Acc: 56
Train Epoch: 15 [15000/49000 (30%)]	Train Loss: 1.848323	Val Loss: 1.901303	Val Acc: 55
Train Epoch: 15 [18000/49000 (37%)]	Train Loss: 1.842888	Val Loss: 1.911186	Val Acc: 54
Train Epoch: 15 [21000/49000 (43%)]	Train Loss: 1.874127	Val Loss: 1.900364	Val Acc: 55
